Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
NRDY,Nerdy Inc,0.67%,34.00%,9.23%,5.81%,-68.26%,1.5
NMXS,Net Medical Xpress Solutions Inc,3.03%,-14.00%,-28.08%,38.75%,"1,295.47%",
NSAV,Net Savings Link Inc,0.95%,18.00%,1.83%,-46.15%,-73.66%,
NTAP,NetApp Inc.,1.03%,13.00%,2.95%,-1.76%,-6.46%,0.96
NCPL,Netcapital Inc,6.76%,21.00%,19.30%,-53.96%,-72.05%,
NTES,NetEase Inc (ADR),-0.76%,2.00%,-9.27%,-4.43%,3.61%,1
NFLX,Netflix Inc,7.67%,40.00%,24.85%,37.14%,-50.13%,1.68
NTGR,"NetGear, Inc.",-5.95%,36.00%,21.31%,19.81%,-24.36%,1.05
NLST,"Netlist, Inc.",-8.72%,-5.00%,-15.36%,-36.34%,-48.70%,
NTCT,"NetScout Systems, Inc.",-3.94%,7.00%,-2.07%,-4.93%,30.39%,0.71
NTWK,NetSol Technologies Inc.,-0.60%,7.00%,-7.74%,-9.26%,-22.03%,0.34
NTST,NetSTREIT Corp,-2.15%,-1.00%,-8.50%,-3.96%,-14.76%,0.63
NWCN,Network CN Inc,0.00%,0.00%,-23.59%,-54.51%,15.92%,
NTIP,Network-1 Technologies Inc,-0.88%,-4.00%,-15.32%,-14.13%,-21.14%,0.32
NBSE,Neubase Therapeutics Inc,3.54%,17.00%,4.60%,21.53%,-64.97%,1.11
NBW,Neuberger Berman California Munc Fd Inc,-0.42%,3.00%,-7.38%,-3.88%,-14.22%,0.17
NHS,Neuberger Berman High Yield Strateges Fd,3.51%,18.00%,4.83%,0.15%,-19.69%,0.51
NML,Neuberger Berman MLP Income Fund Inc,2.79%,15.00%,4.67%,6.75%,53.46%,0.78
NBH,Neuberger Berman Municipal Fund Inc,0.17%,4.00%,-6.33%,-0.89%,-21.85%,0.21
NBO,Neuberger Berman New York Muncipl Fd Inc,0.09%,4.00%,-5.87%,-2.06%,-16.88%,0.17
NBXG,Neuberger Berman Next Gnrtn Cnnctvty,-0.51%,15.00%,4.75%,4.96%,-39.06%,1.5
NRO,Neuberger Berman Real Estate Sec Inc Fd,1.85%,8.00%,-2.87%,-7.58%,-9.23%,0.72
NRBO,Neurobo Pharmaceuticals Inc,11.05%,-29.00%,-35.47%,-22.75%,-89.05%,0.68
NBIX,"Neurocrine Biosciences, Inc.",13.53%,13.00%,1.67%,21.87%,29.07%,0.6
NURO,Neurometrix Inc,-12.93%,-6.00%,-11.44%,18.75%,-72.70%,1.39
STIM,Neuronetics Inc,2.09%,11.00%,7.38%,96.77%,-47.78%,1.33
NMTC,Neuroone Medical Technologies Corp,10.57%,98.00%,83.00%,241.18%,-57.52%,0.57
NPCE,Neuropace Inc,0.89%,-1.00%,-10.96%,-12.68%,-73.99%,0.86
NPTX,Neuropathix Inc,45.00%,45.00%,30.93%,2.28%,-65.23%,
NRSN,Neurosense Therapeutics Ltd,-5.94%,-8.00%,-28.21%,43.22%,0.00%,1.12
NTRR,Neutra Corp,0.00%,20.00%,1.59%,86.93%,-67.35%,
NVRO,Nevro Corp,5.12%,17.00%,-0.92%,8.86%,-52.48%,1.71
NECA,New America Energy Corp,0.00%,-33.00%,-39.80%,-6.53%,-84.95%,
HYB,New America High Income Fund Inc.,2.23%,14.00%,1.63%,-1.35%,-10.38%,0.49
NAHD,New Asia Holdings Inc,14.75%,0.00%,3.62%,7.26%,114.44%,
GBR,"New Concept Energy, Inc.",5.97%,-3.00%,-14.52%,-32.28%,-66.89%,0.66
NEN,New England Realty Associates LP,0.32%,1.00%,-9.13%,-4.74%,36.36%,0.06
NFE,New Fortress Energy Inc,13.00%,43.00%,23.69%,28.50%,96.14%,1.29
NFEI,New Frontier Energy Inc.,20.00%,6.00%,1.59%,-32.70%,-1.46%,
GF,New Germany Fund Inc.,3.38%,11.00%,1.63%,-16.75%,-54.92%,0.72
NGD,New Gold Inc (USA),4.08%,15.00%,-8.19%,-37.19%,-41.92%,0.99
IRL,New Ireland Fund Inc,6.68%,16.00%,1.57%,-10.26%,-33.75%,0.43
NJR,New Jersey Resources Corp,0.58%,3.00%,-5.70%,-2.92%,23.66%,0.33
NNAX,New Momentum Corp,-17.50%,6.00%,-16.30%,-0.50%,-98.07%,
NMFC,New Mountain Finance Corp.,2.44%,11.00%,-0.93%,-2.09%,5.77%,0.44
EDU,New Oriental Education & Tech Grp (ADR),-3.49%,15.00%,3.20%,143.93%,23.57%,
NWPP,New Peoples Bankshares Inc,0.00%,0.00%,-9.70%,-4.46%,13.26%,
NPAB,New Providence Acquisition Corp II,-0.10%,1.00%,-9.06%,-5.78%,0.00%,0.03
NEWR,New Relic Inc,10.10%,34.00%,19.84%,35.49%,-7.76%,1.47
NVSA,New Vista Acquisition Corp,0.30%,0.00%,-9.33%,-5.58%,7.84%,0
NDVLY,New World Development Co Ltd - ADR,0.00%,-5.00%,0.00%,0.00%,0.00%,
NYC,New York City REIT Inc,-0.26%,-12.00%,-24.03%,-66.04%,-64.84%,0.35
NYCB,"New York Community Bancorp, Inc.",2.62%,13.00%,4.64%,10.99%,-9.94%,0.78
WAYS,New York Holding Corp,0.00%,-7.00%,-15.82%,-38.06%,-22.72%,
NYMT,New York Mortgage Trust Inc,-2.88%,11.00%,-2.98%,-5.91%,-26.60%,1.03
NYT,New York Times Co,2.86%,7.00%,-0.61%,-8.18%,-29.84%,1.1
NBEV,Newage Inc,-1.73%,-13.00%,-15.85%,-8.69%,-87.60%,1.3
NBST,Newbury Street Acquisition Corp,0.00%,0.00%,-9.33%,-5.86%,6.68%,0
NCAC,Newcourt Acquisition Corp,0.00%,0.00%,-9.34%,-5.88%,0.00%,-0.01
NEGG,Newegg Commerce Inc,7.56%,11.00%,-3.41%,-17.87%,-79.85%,1.82
NWL,Newell Brands Inc,3.53%,8.00%,-3.39%,-12.02%,-15.27%,0.86
NHIC,Newhold Investment II Corp,0.20%,1.00%,-9.43%,-5.67%,0.00%,-0.1
NEWH,Newhydrogen Inc,7.65%,28.00%,14.77%,2.29%,9.26%,
NLCP,Newlake Capital Partners Inc,-0.60%,-5.00%,-15.59%,-22.42%,0.00%,
NMRK,Newmark Group Inc,3.45%,7.00%,-3.63%,-11.45%,-14.11%,1.23
NEU,NewMarket Corporation,0.81%,1.00%,-8.54%,-13.87%,-4.62%,0.65
NEM,Newmont Corporation,3.02%,-16.00%,-29.02%,-37.52%,-16.97%,0.09
NR,Newpark Resources Inc,-5.71%,-15.00%,-23.10%,-30.49%,11.73%,0.79
NWSA,News Corp,5.37%,21.00%,7.55%,2.04%,-19.92%,1.03
NEWT,NEWTEK Business Services Corp,-0.38%,11.00%,-3.98%,-20.44%,-13.54%,0.72
NEXA,Nexa Resources SA,3.32%,26.00%,10.21%,-22.94%,-13.56%,1.1
NXGL,Nexgel Inc,6.18%,6.00%,-7.25%,19.36%,0.00%,0.78
NXGM,NexGen Mining Inc,-23.40%,-30.00%,-48.17%,-10.99%,99.79%,
NXEN,Nexien Biopharma Inc,-20.71%,-1.00%,-10.51%,-13.54%,-26.98%,
NEXI,Neximmune Inc,4.24%,-16.00%,-29.70%,-45.77%,-89.60%,2.07
NXDT,NexPoint Diversified Real Estate Trust,7.07%,7.00%,-3.07%,4.89%,29.04%,0.43
NREF,NexPoint Real Estate Finance Inc,2.23%,0.00%,-10.47%,-17.64%,-3.80%,0.44
NXRT,NexPoint Residential Trust Inc,-3.40%,5.00%,-5.44%,-23.16%,10.77%,0.67
NXST,Nexstar Media Group Inc,3.97%,21.00%,6.77%,14.36%,39.11%,0.83
NXMH,Next Meats Holdings Inc,-18.37%,-19.00%,-34.92%,-5.35%,-84.09%,
CHMX,Next-Chemx Corp,0.00%,0.00%,-9.70%,-6.53%,31.72%,
NXTC,NextCure Inc,17.48%,11.00%,-7.87%,38.96%,-28.52%,0.74
NEXT,Nextdecade Corp,5.64%,73.00%,51.85%,38.53%,163.28%,1.34
KIND,Nextdoor Holdings Inc,-27.42%,-18.00%,-31.90%,-13.87%,-71.94%,2.09
NEE,NextEra Energy Inc,3.84%,14.00%,1.01%,19.54%,17.48%,0.61
NEP,Nextera Energy Partners LP,4.38%,13.00%,1.87%,23.15%,11.02%,0.71
NXGN,Nextgen Healthcare Inc,1.47%,-2.00%,-9.91%,-13.35%,17.62%,0.67
NEX,Nextier Oilfield Solutions Inc,-0.34%,10.00%,-3.87%,-15.36%,142.74%,0.78
NXMR,NextMart Inc.,15.43%,114.00%,97.67%,3.24%,113.13%,
NN,Nextnav Inc,21.74%,23.00%,25.37%,-38.66%,-64.66%,0.64
NXPL,NextPlat Corp,24.19%,27.00%,8.60%,42.60%,-53.57%,0.76
NXTP,Nextplay Technologies Inc,0.04%,-27.00%,-33.15%,-23.36%,-86.10%,1.01
NFTN,NFiniTi Inc,0.00%,-95.00%,-95.83%,-94.39%,-28.15%,
NGL,NGL Energy Partners LP,-4.12%,12.00%,3.65%,-19.82%,0.45%,0.68
NGM,NGM Biopharmaceuticals Inc,24.26%,14.00%,3.01%,56.10%,-19.22%,1.15
NODK,NI Holdings Inc,-1.21%,-12.00%,-21.38%,-20.51%,-19.53%,0.43
NICE,Nice Ltd (ADR),3.42%,17.00%,5.66%,17.02%,-8.94%,1.18
NICK,"Nicholas Financial, Inc.",0.00%,-6.00%,-6.85%,-6.23%,-14.30%,0.5
NIC,Nicolet Bankshares Inc,2.49%,13.00%,4.39%,-2.02%,15.59%,
NJDCY,Nidec Corporation (ADR),2.39%,14.00%,4.09%,9.90%,-33.13%,
NLSN,Nielsen Holdings PLC,15.42%,17.00%,7.76%,-0.23%,24.35%,0.59
NDAC,Nightdragon Acquisition Corp,-0.10%,0.00%,-9.15%,-5.77%,6.03%,0.01
NGTF,NightFood Holdings Inc,2.19%,-7.00%,-13.46%,7.49%,-17.37%,
NHWK,NightHawk Biosciences Inc,11.98%,2.00%,-14.14%,53.51%,-56.40%,1.14
NKE,Nike Inc,-1.00%,8.00%,-2.80%,-2.01%,-30.79%,1.36
NKLA,Nikola Corp,-6.55%,32.00%,18.87%,28.36%,-29.17%,1.9
NILA,Nilam Resources Inc,0.00%,-4.00%,-27.01%,-63.43%,-78.03%,
NINE,Nine Energy Service Inc,5.49%,28.00%,14.06%,0.82%,37.33%,-0.09
NIO^D16,Nio Inc - ADR,-1.23%,-3.00%,-14.15%,47.44%,-52.22%,2.24
NTTYY,Nippon Telegraph & Telephone Corp (ADR),0.50%,0.00%,-10.24%,-10.81%,14.49%,
NPNYY,Nippon Yusen KK - ADR,0.00%,20.00%,0.00%,0.00%,0.00%,
NI,NiSource Inc.,0.53%,6.00%,-3.96%,-4.14%,27.91%,0.37
NSANY,Nissan Motor Co Ltd (ADR),4.80%,9.00%,-2.02%,-1.92%,-22.80%,
NISN,Nisun Internatnal Entpre Dev Grp Co Ltd,9.64%,30.00%,16.41%,59.20%,-90.43%,1.6
NKTX,Nkarta Inc,18.57%,16.00%,2.65%,20.01%,-55.03%,2
NL,NL Industries Inc,-9.47%,-10.00%,-16.43%,2.59%,40.06%,0.78
LASR,Nlight Inc,-1.00%,27.00%,14.67%,7.00%,-52.72%,1.68
NLSP,NLS Pharmaceutics AG,10.35%,-33.00%,-41.50%,-36.55%,-83.56%,0.11
NMIH,NMI Holdings Inc,6.47%,30.00%,16.41%,14.38%,0.87%,1.14
NNBR,NN Inc,-18.34%,-6.00%,-16.10%,-13.84%,-57.99%,1
NOAH,Noah Holdings Limited (ADR),-3.92%,-2.00%,-17.39%,-1.32%,-57.59%,1.41
NOBH,"Nobility Homes, Inc.",1.92%,0.00%,-9.70%,-18.79%,-9.92%,
NE,Noble Corp (Cayman Island),1.18%,21.00%,9.49%,-8.57%,53.92%,0.67
NRAC,Noble Rock Acquisition Corp,-0.10%,0.00%,-9.24%,-5.96%,7.34%,0.01
NROM,"Noble Roman's, Inc.",0.11%,0.00%,-10.08%,-21.34%,-75.71%,
NCRA,Nocera Inc,-1.43%,0.00%,-29.20%,-19.38%,-29.41%,
NNUP,"Nocopi Technologies, Inc.",75.02%,59.00%,75.25%,55.48%,29.62%,
MBTC,Nocturne Acquisition Corp,0.20%,1.00%,-9.44%,-5.43%,9.04%,0
NOK,Nokia Oyj (ADR),-0.19%,13.00%,2.27%,3.83%,-8.80%,0.98
NOMD,Nomad Foods Ltd,-4.16%,1.00%,-11.64%,-10.42%,-29.54%,0.76
NMR,Nomura Holdings Inc (ADR),9.20%,3.00%,-7.51%,-1.07%,-18.44%,0.6
NIMU,"Non-Invasive Monitoring Systems, Inc.",-16.67%,-17.00%,-24.75%,-1.27%,-47.31%,
NDLS,Noodles & Co,3.33%,13.00%,1.66%,-15.06%,-55.70%,1.54
NAT,Nordic American Tanker Ltd,2.37%,20.00%,12.44%,3.45%,15.65%,0.68
NDSN,Nordson Corporation,3.33%,17.00%,5.00%,6.93%,13.10%,0.88
JWN,"Nordstrom, Inc.",-7.68%,15.00%,1.42%,-0.73%,-34.21%,1.82
NSC,Norfolk Southern Corp.,2.90%,13.00%,5.02%,-2.35%,4.77%,0.78
NHYDY,Norsk Hydro ASA (ADR),5.91%,32.00%,14.83%,-6.40%,7.57%,
NSYS,Nortech Systems Incorporated,15.16%,-26.00%,-35.95%,-14.73%,12.42%,-0.01
USMJ,North American Cannabis Holdings Inc,-11.11%,0.00%,-9.70%,-6.53%,-47.31%,
NOA,North American Construction Group Ltd,8.49%,13.00%,1.48%,-0.37%,-12.21%,0.61
NAAC,North Atlantic Acquisition Corp,-0.10%,0.00%,-9.15%,-7.05%,7.34%,-0.19
NRT,North European Oil Royalty Trust,3.21%,34.00%,19.45%,-11.14%,134.67%,0.45
NMMC,North Mountain Merger Corp,-0.10%,0.00%,-9.43%,-5.78%,7.98%,0.01
NBN,Northeast Bank,-1.46%,9.00%,-1.92%,5.38%,26.73%,0.32
NECB,"Northeast Community Bancorp, Inc.",-1.17%,6.00%,-4.58%,9.36%,32.19%,0.19
NIDB,Northeast Indiana Bancorp Inc,2.33%,3.00%,-7.04%,-9.61%,7.12%,
NAK,Northern Dynasty Minerals Ltd,6.41%,18.00%,7.91%,7.53%,-16.13%,0.91
NGC,Northern Genesis Acquisition III Corp,0.00%,0.00%,-9.52%,-6.15%,6.58%,0
NLIT,Northern Lights Acquisition Corp,-0.58%,4.00%,-9.17%,-5.89%,0.00%,-0.03
NMEX,Northern Minerals & Exploration Ltd,-7.45%,-2.00%,-11.93%,4.79%,-54.16%,
NOG,"Northern Oil & Gas, Inc.",2.36%,20.00%,9.99%,1.23%,70.98%,1.06
NSTB,Northern Star Investment Corp II,0.10%,0.00%,-9.24%,-5.77%,4.95%,0
NSTC,Northern Star Investment Corp III,0.41%,1.00%,-9.06%,-5.48%,7.11%,0
NSTD,Northern Star Investment Corp IV,0.31%,1.00%,-9.24%,-5.86%,6.90%,0.01
NTIC,Northern Technologies International Corp,-0.45%,-2.00%,-13.63%,-3.01%,-38.14%,0.23
NTRS,Northern Trust Corporation,2.19%,8.00%,-3.64%,-6.41%,-7.06%,0.96
NFBK,Northfield Bancorp Inc,-0.54%,13.00%,2.03%,8.42%,-7.28%,0.5
NRIM,"Northrim BanCorp, Inc.",0.07%,3.00%,-8.20%,-7.47%,0.61%,0.57
NOC,Northrop Grumman Corporation,-1.79%,3.00%,-8.16%,-0.95%,37.48%,0.28
NUBC,Northumberland Bancorp,0.00%,1.00%,0.00%,0.00%,0.00%,
NVAC,Northview Acquisition Corp,0.00%,0.00%,-9.70%,-6.44%,0.00%,0.02
NWYF,"Northway Financial, Inc.",0.00%,-2.00%,-11.17%,-10.33%,-5.90%,
NWBI,"Northwest Bancshares, Inc.",2.99%,17.00%,3.71%,10.24%,15.26%,0.4
NWBO,"Northwest Biotherapeutics, Inc",-4.04%,-6.00%,-20.00%,-20.41%,-44.36%,
NWN,Northwest Natural Holding Co,-3.00%,-4.00%,-11.18%,-2.97%,3.15%,0.2
NWPX,Northwest Pipe Company,6.82%,10.00%,-1.53%,0.97%,20.67%,0.34
NWE,NorthWestern Corp,2.38%,-3.00%,-11.96%,-12.07%,-6.12%,0.25
NLOK,NortonLifeLock Inc,-8.98%,4.00%,-4.19%,-6.57%,6.21%,0.6
NCLH,Norwegian Cruise Line Holdings Ltd,4.39%,15.00%,6.29%,-17.81%,-44.66%,2.27
NWFL,Norwood Financial Corporation,-1.76%,4.00%,-8.57%,-10.11%,3.97%,0.23
NORZF,Norzinc Ltd,0.00%,26.00%,-6.39%,19.71%,-48.47%,
NOV,Nov Inc,-0.95%,25.00%,8.86%,-3.10%,38.92%,0.62
NVFY,Nova Lifestyle Inc,-5.26%,25.00%,19.50%,21.90%,-60.97%,1.2
NVMI,NOVA LTD,-4.82%,15.00%,1.43%,-2.57%,-12.04%,1.47
NOVV,Nova Vision Acquisition Corp,0.20%,1.00%,-8.98%,-5.51%,0.00%,0
NBY,"NovaBay Pharmaceuticals, Inc.",16.61%,20.00%,6.29%,58.84%,-48.51%,0.89
XSNX,NovAccess Global Inc,31.58%,12.00%,1.59%,-22.11%,-60.35%,
NG,NOVAGOLD RES INC COM NEW,6.59%,10.00%,-1.06%,-11.84%,-28.53%,0.61
,Novan Inc,6.62%,21.00%,2.69%,17.34%,-63.53%,1.02
NOVT,Novanta Inc (USA),0.47%,24.00%,12.54%,17.45%,12.40%,1.16
NVS,Novartis AG (ADR),3.03%,3.00%,-4.89%,-2.76%,-0.15%,0.41
NOHO,Novation Holdings Inc,0.00%,100.00%,-9.70%,-6.53%,-69.89%,
NVAX,"Novavax, Inc.",-32.32%,-20.00%,-46.61%,-9.93%,-81.07%,2.42
NSTM,Novelstem International Corp,0.00%,-12.00%,-26.96%,-31.46%,5.38%,
NVNT,"Novint Technologies, Inc.",20.45%,-8.00%,-16.53%,-38.08%,-53.30%,
NVOS,Novo Integrated Sciences Inc,9.14%,-7.00%,-8.27%,-12.49%,-3.70%,0.35
NVO,Novo Nordisk A/S (ADR),7.61%,-6.00%,-11.84%,-3.20%,13.17%,0.55
NVCR,Novocure Ltd,9.87%,10.00%,-1.15%,28.88%,-40.84%,1.8
NRBT,Novus Robotics Inc,-18.08%,0.00%,-9.70%,-24.51%,-40.08%,
DNOW,NOW Inc,-4.01%,14.00%,3.01%,4.89%,47.37%,0.74
NRG,NRG Energy Inc,5.00%,9.00%,-4.54%,-12.24%,-4.17%,0.57
NRXP,NRX Pharmaceuticals Inc,-10.54%,38.00%,13.94%,-41.75%,-95.70%,1.53
NSARO,NSTAR Electric Company,0.00%,0.00%,-9.70%,-9.62%,-3.65%,
NSTS,NSTS Bancorp Inc,-0.91%,0.00%,-11.72%,-7.88%,0.00%,0.12
NU,Nu Holdings Ltd,-0.67%,-6.00%,0.28%,11.96%,0.00%,2.17
NUS,"Nu Skin Enterprises, Inc.",0.74%,8.00%,-3.58%,-1.27%,-11.12%,0.9
NUMD,Nu-Med Plus Inc,0.00%,25.00%,-6.91%,43.80%,-82.15%,
NUBI,Nubia Brand International Corp,0.00%,0.00%,0.00%,0.00%,0.00%,
NCNA,NuCana PLC (ADR),-14.84%,45.00%,2.16%,139.58%,-25.07%,1.43
NUE,Nucor Corporation,7.68%,28.00%,16.46%,4.98%,26.25%,1.2
NUGN,NuGene International Inc,29.90%,272.00%,196.96%,34.90%,"1,473.43%",
NUKK,Nukkleus Inc,-9.16%,-25.00%,-22.13%,-28.77%,7.39%,
NUNZ,Nunzia Pharmaceutical Corp,33.33%,5.00%,-5.53%,-19.34%,-76.03%,
AURX,Nuo Therapeutics Inc,64.29%,64.00%,130.76%,-2.73%,169.30%,
NRIX,Nurix Therapeutics Inc,9.33%,23.00%,8.15%,110.41%,-31.15%,1.51
SMR,Nuscale Power Corp,-3.84%,39.00%,26.08%,30.89%,49.78%,
NS,NuStar Energy L.P.,-5.76%,4.00%,-4.71%,2.48%,2.16%,0.65
NTNX,Nutanix Inc,4.77%,22.00%,7.61%,-20.24%,-48.79%,1.46
NUTX,Nutex Health Inc,13.20%,55.00%,37.23%,-26.97%,47.92%,
NPHC,Nutra Pharma Corp.,50.00%,-30.00%,-36.79%,-1.86%,-72.34%,
NLBS,Nutralife Biosciences Inc,-5.79%,-30.00%,-36.79%,-5.04%,-12.18%,
NTRB,Nutriband Inc,1.79%,2.00%,13.76%,13.93%,-42.91%,1.01
NUVL,Nuvalent Inc,22.68%,-2.00%,-11.28%,102.59%,-19.50%,1.76
NUVA,"NuVasive, Inc.",-3.39%,6.00%,-6.12%,-4.28%,-4.88%,1.07
NUVB,Nuvation Bio Inc,16.45%,-25.00%,-31.58%,-36.99%,-65.81%,1.13
NVCT,Nuvectis Pharma Inc,-1.53%,-28.00%,-36.48%,-50.82%,0.00%,0
NVG,Nuveen AMT-Free Municipal Crdt Inc Fund,2.04%,6.00%,-5.34%,1.20%,-13.79%,0.26
NUW,Nuveen Amt-Free Municipal Value Fund,-0.21%,2.00%,-7.99%,-2.86%,-10.70%,0.23
NEA,Nuveen Amt-Free Quality Municpl Incm Fnd,-0.47%,4.00%,-7.37%,0.08%,-15.59%,0.25
NAZ,Nuveen Arizona Premium Income Mun Fd,3.90%,5.00%,-4.39%,2.58%,-9.57%,0.17
NXC,Nuveen CA Select Tax-Free Income Portfol,-1.36%,2.00%,-7.77%,-1.77%,-10.34%,0.3
NKX,Nuveen Calfrna AMT-Free Qlty Mncpl IncFd,1.00%,5.00%,-5.42%,0.81%,-9.80%,0.25
NCA,Nuveen California Municipal Value Fund,-1.31%,0.00%,-8.59%,-3.33%,-12.10%,0.17
NAC,Nuveen California Quality Muncpl IncmFnd,1.41%,6.00%,-4.93%,0.70%,-15.29%,0.21
JCE,Nuveen Core Equity Alpha Fund,3.37%,13.00%,4.52%,6.30%,-2.47%,0.96
NPCT,Nuveen Core Plus Impact Fund,0.71%,10.00%,-0.80%,-4.98%,-31.62%,0.41
JQC,Nuveen Credit Strategies Income Fund,2.00%,8.00%,-4.06%,-3.61%,-8.77%,0.38
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,1.95%,4.00%,-4.45%,-2.38%,-2.56%,0.65
JFR,Nuveen Floating Rate Income Fund,2.48%,8.00%,-1.82%,-0.98%,-2.35%,0.46
JRO,Nuveen Floating Rate Income Opportnty Fd,2.42%,7.00%,-3.74%,-2.58%,-3.53%,0.45
NKG,Nuveen Georgia Quality Municipal Inc Fd,0.54%,3.00%,-7.06%,-5.95%,-15.71%,0.19
JGH,Nuveen Global High Income Fund,1.49%,13.00%,1.62%,-3.93%,-15.74%,0.41
NID,Nuveen Intermediate Duration Munpl Tm Fd,1.17%,5.00%,-5.40%,-1.93%,-2.38%,0.15
NIQ,Nuveen Intermediate Duration Qlty Mun FD,-0.23%,3.00%,-7.69%,-3.34%,-6.56%,0.26
NMT,Nuveen Massachusetts Qlty Mncpl Incm Fnd,-1.47%,2.00%,-8.18%,-5.91%,-16.47%,0.07
NMS,Nuveen Minnesota Qulty Mnicpal Incm Fund,0.84%,2.00%,-8.94%,-3.96%,1.91%,0.01
NOM,Nuveen Missouri Quality Mncpl Incm Fnd,-0.31%,2.00%,-4.86%,-6.57%,-14.64%,0.15
JLS,Nuveen Mortgage and Income Fund,1.08%,5.00%,-5.98%,-6.91%,-15.04%,0.14
JMM,Nuveen Multi-Market Income Fund Inc,-0.97%,5.00%,-4.61%,-1.79%,-10.27%,0.19
NZF,Nuveen Municipal Credit Income Fund,0.81%,6.00%,-5.23%,-0.31%,-16.75%,0.22
NMCO,Nuveen Municipal Credit Opprtntes Fund,-0.66%,4.00%,-6.37%,3.61%,-10.15%,0.28
NMZ,Nuveen Municipal High Income Oppty Fund,-0.88%,4.00%,-6.38%,-2.52%,-16.24%,0.24
NMI,Nuveen Municipal Income Fund Inc.,-1.13%,2.00%,-8.46%,-4.75%,-14.93%,0.09
NUV,Nuveen Municipal Value Fund Inc,0.11%,3.00%,-8.02%,-3.74%,-17.32%,0.22
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,-0.28%,10.00%,-0.54%,-1.65%,-10.47%,0.9
NXJ,Nuveen New Jersey Quality Mncpl Inc Fund,0.92%,3.00%,-7.38%,-1.28%,-10.70%,0.15
NRK,Nuveen New York AMT-Fr Qty Mnpl Incm Fd,-1.12%,3.00%,-7.45%,-1.84%,-16.02%,0.15
NNY,Nuveen New York Municipal Value Fund Inc,0.23%,2.00%,-8.35%,-4.69%,-9.44%,0.11
NAN,Nuveen New York Quality Muncpl Incm Fund,-0.41%,2.00%,-7.78%,-2.22%,-17.28%,0.14
NXN,Nuveen NY Select Tax-Free Income Portfol,0.28%,2.00%,-8.46%,-4.93%,-10.15%,0
NUO,Nuveen Ohio Quality Income Muncpl Fund,0.22%,5.00%,-6.13%,-2.39%,-15.04%,0.15
NQP,Nuveen Pennsylvania Quty Mul Ince Fund,0.64%,4.00%,-6.44%,-1.30%,-13.28%,0.19
JPC,Nuveen Preferred & Income Oprtnts Fnd,0.00%,8.00%,-1.92%,-0.68%,-12.85%,0.54
JPS,Nuveen Preferred & Income Securities Fnd,0.77%,10.00%,-1.32%,-1.28%,-17.10%,0.53
JPI,Nuveen Preferred & Income Term Fund,0.72%,11.00%,-0.30%,-3.85%,-13.78%,0.41
NAD,Nuveen Quality Municipal Income Fund,-0.45%,3.00%,-7.60%,-0.64%,-14.87%,0.28
JRI,Nuveen Real Asset Income and Growth Fund,0.00%,10.00%,0.00%,0.00%,0.00%,0.66
JRS,Nuveen Real Estate Income Fund,2.82%,9.00%,-0.77%,-1.62%,-5.28%,0.78
BXMX,Nuveen S&P 500 BuyWrite Income Fund,1.60%,7.00%,-1.12%,-0.16%,-1.01%,0.78
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,1.33%,6.00%,-3.24%,0.73%,-2.79%,0.74
NIM,Nuveen Select Maturities Municipal Fund,0.52%,3.00%,-6.99%,-2.99%,-7.20%,0.09
NXP,Nuveen Select Tax-Free Income Portfolio,0.00%,1.00%,-9.38%,-3.39%,-13.89%,0.15
NSL,Nuveen Senior Income Fund,1.39%,6.00%,-5.07%,-4.29%,-6.33%,0.39
JSD,Nuveen Short Duration Credit Opp Fund,0.00%,9.00%,0.00%,0.00%,0.00%,0.36
NBB,Nuveen Taxable Municipal Income Fund,0.38%,1.00%,-8.46%,-1.17%,-16.97%,0.2
NPFD,Nuveen Variable Rate Pred & Inc Fund,-0.83%,10.00%,-2.66%,-0.39%,0.00%,0.27
NPV,Nuveen Virginia Quality Mncpl Incm Fund,3.04%,8.00%,-3.07%,6.15%,-12.61%,0.23
NUVR,Nuvera Communications Inc,5.35%,4.00%,-3.84%,-14.36%,-11.36%,
NUVM,NuVim Inc,-6.27%,20.00%,49.87%,31.40%,-31.93%,
NUVG,NuvusGro Corp,19.86%,320.00%,345.65%,503.22%,81.18%,
NVVE,Nuvve Holding Corp,18.67%,-2.00%,-11.94%,-44.12%,-68.23%,1.66
NUWE,Nuwellis Inc,2.35%,17.00%,3.59%,-9.76%,-84.76%,1.03
NUZE,NuZee Inc,-30.35%,-19.00%,-29.56%,-41.67%,-73.05%,0.83
NVEE,NV5 Global Inc,-3.33%,9.00%,0.36%,11.60%,37.64%,0.64
NVEC,NVE Corp,-0.15%,15.00%,3.58%,5.19%,-22.38%,0.89
,nVent Electric PLC,1.31%,16.00%,5.89%,0.14%,12.76%,0.96
NVDA,NVIDIA Corporation,-4.21%,18.00%,7.76%,1.71%,-4.34%,2.23
NVR,"NVR, Inc.",2.67%,1.00%,-9.57%,-0.10%,-10.87%,1.07
NWTT,"NW Tech Capital, Inc.",0.00%,-17.00%,-24.75%,16.83%,-59.47%,
