Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
D,Dominion Energy Inc,-1.27%,4.00%,-5.71%,-7.52%,13.24%,0.26
DPZ,"Domino's Pizza, Inc.",3.80%,0.00%,-8.72%,16.64%,-17.60%,0.7
DOMO,Domo Inc,7.14%,15.00%,-0.09%,3.89%,-60.87%,2.49
DCI,"Donaldson Company, Inc.",2.38%,15.00%,4.31%,7.60%,-13.99%,0.83
DGICA,Donegal Group Inc.,2.15%,-9.00%,-19.53%,-8.28%,2.12%,0.19
DFIN,Donnelley Financial Solutions Inc,10.72%,42.00%,32.35%,58.22%,37.52%,1.53
DASH,DoorDash Inc,1.38%,15.00%,1.45%,26.59%,-55.33%,2.48
DMLP,Dorchester Minerals LP,2.65%,13.00%,-0.53%,4.09%,79.26%,0.52
DIIBF,Dorel Industries Inc (USA),-3.05%,19.00%,5.75%,-2.39%,18.60%,
LPG,Dorian LPG Ltd,0.86%,7.00%,-0.24%,-0.61%,77.21%,0.1
DORM,Dorman Products Inc.,1.92%,-10.00%,-18.15%,-2.27%,6.42%,0.55
DDI^C10,DoubleDown Interactive Co Ltd - ADR,-9.45%,-1.00%,-10.64%,1.48%,0.00%,0.57
DSL,DoubleLine Income Solutions Fund,0.38%,9.00%,-3.42%,-6.53%,-21.74%,0.4
DBL,Doubleline Opportunistic Credit Fund,0.00%,4.00%,0.00%,0.00%,0.00%,0.2
DLY,DoubleLine Yield Opportunities Fund,0.33%,9.00%,-2.08%,-4.87%,-18.44%,0.35
DV,DoubleVerify Holdings Inc,15.21%,13.00%,8.77%,38.19%,-13.67%,1.59
PLOW,Douglas Dynamics Inc,5.77%,13.00%,2.01%,4.27%,-13.77%,0.75
DOUG,Douglas Elliman Inc,-6.18%,7.00%,-0.69%,-2.54%,0.00%,1.49
DEI,"Douglas Emmett, Inc.",-3.46%,1.00%,-9.46%,-23.44%,-27.04%,0.84
