Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
AJIA,Ajia Innogroup Holdings Ltd,--,,452.34x,0.00x,0.00x,0.00x,0.00%,-111.29%
AKA,AKA Brands Holding Corp,--,,0.42x,0.57x,39.70x,22.05x,0.00%,0.00%
AKAM,"Akamai Technologies, Inc.",27.30x,2.2748,4.31x,3.58x,13.23x,35.52x,13.20%,7.29%
AKAN,Akanda Corp,--,,877.50x,0.00x,0.00x,129.89x,0.00%,0.00%
AKTX,Akari Therapeutics PLC (ADR),--,,0.00x,6.77x,0.00x,0.00x,-187.62%,-122.82%
AKBTY,Akbank T.A.S. (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AKBA,Akebia Therapeutics Inc,--,,0.26x,1.23x,0.00x,61.17x,-137.90%,-28.82%
KERN,Akerna Corp,--,,0.54x,0.14x,0.00x,27.33x,-109.41%,-62.98%
AKRO,Akero Therapeutics Inc,--,,0.00x,3.48x,0.00x,5.94x,-59.80%,-52.01%
AKUS,Akouos Inc,--,,0.00x,0.47x,0.00x,0.00x,-38.58%,-33.77%
AKTS,Akoustis Technologies Inc,--,,22.29x,2.47x,0.00x,0.00x,-46.29%,-41.23%
AKYA,Akoya Biosciences Inc,--,,9.20x,6.55x,0.00x,32.56x,-52.70%,-32.35%
,Akso Health Group - ADR,--,,49.67x,1.58x,0.00x,33.84x,-98.51%,-49.52%
AKZOY,Akzo Nobel NV  (ADR),20.52x,0.62739,1.23x,0.00x,12.45x,51.30x,11.29%,4.29%
ALG,"Alamo Group, Inc.",19.45x,,1.14x,2.21x,12.77x,33.51x,11.88%,6.59%
ALRM,AlarmCom Hldg Inc,85.59x,5.70567,4.86x,6.74x,49.53x,45.77x,8.37%,3.89%
ALK,"Alaska Air Group, Inc.",30.89x,1.55338,0.72x,1.56x,9.86x,37.74x,5.45%,1.32%
APTL,Alaska Power & Telephone Co,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
TCRT,Alaunos Therapeutics Inc,--,,1009.22x,8.18x,0.00x,33.11x,-86.56%,-62.76%
AIN,Albany International Corp.,23.97x,2.44606,3.01x,3.60x,14.78x,37.11x,15.03%,8.10%
ALB,Albemarle Corporation,116.90x,16.23586,7.01x,4.99x,81.16x,35.43x,4.30%,0.91%
ACI,Albertsons Companies Inc,10.74x,,0.21x,3.76x,4.91x,62.81x,48.27%,6.03%
ALBO,Albireo Pharma Inc,--,,10.76x,3.29x,0.00x,6.37x,-22.11%,-12.81%
AA,Alcoa Corp,10.45x,-0.67835,0.71x,1.68x,5.09x,19.14x,20.41%,8.15%
ALDX,Aldeyra Therapeutics Inc,--,,0.00x,2.59x,0.00x,8.26x,-32.43%,-28.91%
ALEC,Alector Inc,27.11x,,3.57x,3.72x,24.27x,0.00x,16.09%,5.91%
ALR,Alerislife Inc,--,,0.06x,0.26x,0.00x,30.42x,-21.63%,-9.34%
ALRS,Alerus Financial Corp,9.65x,,2.27x,1.39x,9.19x,0.00x,13.71%,1.40%
ALEX,Alexander & Baldwin Inc (Hawaii),38.69x,,3.59x,1.33x,16.35x,32.64x,3.39%,1.98%
ALX,"Alexander's, Inc.",11.25x,,6.59x,5.21x,8.85x,81.35x,50.97%,8.14%
ARE,Alexandria Real Estate Equities Inc,89.11x,15.6325,11.40x,1.57x,20.15x,33.42x,1.87%,1.38%
AXU,Alexco Resource Corp. (USA),--,,5.53x,0.56x,0.00x,5.60x,-10.89%,-9.36%
ALF^J10,Alfi Inc,--,,320.47x,6.03x,0.00x,0.00x,0.00%,-358.78%
ASTL,Algoma Steel Group Inc,1.44x,,0.32x,0.87x,1.21x,6.41x,109.06%,40.11%
BABA,Alibaba Group Holding Ltd - ADR,42.55x,1.64015,1.93x,1.73x,28.11x,12.18x,4.08%,1.15%
ALCO,"Alico, Inc.",7.57x,,2.61x,0.93x,5.21x,28.39x,12.71%,7.35%
ALIT,Alight Inc,--,,1.52x,1.09x,12.35x,35.79x,0.20%,-0.10%
ALGN,"Align Technology, Inc.",36.87x,1.94775,5.63x,6.24x,30.54x,0.00x,17.73%,11.05%
ALHC,Alignment Healthcare Inc,--,,2.37x,10.52x,0.00x,34.39x,-46.07%,-21.85%
ALGS,Aligos Therapeutics Inc,--,,6.97x,0.42x,0.00x,0.34x,-82.64%,-64.09%
ALIM,Alimera Sciences Inc,--,,0.92x,0.00x,0.00x,139.21x,0.00%,-31.66%
ALJJ,"ALJ Regional Holdings, Inc.",--,,0.21x,248.25x,740.23x,99.69x,-267.04%,-10.29%
WTER,Alkaline Water Company Inc,--,,1.11x,131.56x,0.00x,95.85x,-693.81%,-168.26%
ALKT,Alkami Technology Inc,--,,7.96x,4.21x,0.00x,20.11x,-16.95%,-12.71%
ALKS,Alkermes Plc,--,,3.59x,3.89x,0.00x,21.39x,-8.64%,-4.83%
ALLK,Allakos Inc,--,,0.00x,0.94x,0.00x,0.00x,-101.59%,-83.84%
ALLR,Allarity Therapeutics Inc,--,,0.00x,0.67x,0.00x,5.62x,0.00%,0.00%
BIRD,Allbirds Inc,--,,2.32x,1.97x,0.00x,0.00x,-48.17%,-22.69%
Y,Alleghany Corporation,32.22x,0.69745,0.92x,1.43x,16.12x,21.99x,4.17%,1.69%
ABTX,Allegiance Bancshares Inc,12.18x,,3.75x,1.29x,10.85x,0.00x,10.13%,1.14%
ALGT,Allegiant Travel Company,41.74x,1.90985,0.93x,1.58x,8.29x,61.41x,3.84%,1.12%
ALLE,Allegion PLC,19.60x,2.36266,3.06x,11.52x,16.39x,72.26x,59.50%,13.84%
ALLG,Allego NV,--,,17.53x,0.00x,0.00x,145.60x,0.00%,0.00%
ALGM,Allegro MicroSystems Inc,48.57x,,6.18x,6.47x,32.81x,3.17x,14.78%,11.86%
ALNA,Allena Pharmaceuticals Inc,--,,0.00x,0.98x,0.00x,29.64x,-278.14%,-157.03%
ALE,ALLETE Inc,17.35x,2.47831,2.38x,1.33x,9.21x,37.16x,7.73%,2.13%
ARLP,"Alliance Resource Partners, L.P.",--,,0.00x,2.11x,0.00x,24.08x,0.00%,0.00%
AWF,AllianceBernstein Global Hgh Incm Fd Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AB,Alliancebernstein Holding LP,11.87x,1.84788,10.74x,2.94x,0.00x,0.00x,24.02%,23.99%
AFB,AllianceBernstein Natnl Muncpl Incm Fnd.,--,,14.30x,0.95x,0.00x,0.00x,-13.22%,-7.98%
LNT,Alliant Energy Corporation,22.36x,4.14124,3.92x,2.53x,11.47x,56.82x,11.63%,3.78%
ALID,Allied Corp,--,,793.82x,0.00x,0.00x,170.74x,0.00%,-309.90%
AESE,Allied Esports Entertainment Inc,--,,8.89x,0.64x,0.00x,0.00x,-23.37%,-16.84%
AHPI,Allied Healthcare Products Inc,--,,0.32x,1.26x,0.00x,31.01x,-23.13%,-10.95%
AMOT,"Allied Motion Technologies, Inc.",35.12x,,1.24x,2.69x,14.91x,53.25x,8.14%,3.12%
ALOD,Allied Resources Inc,--,,4.74x,0.71x,0.00x,0.00x,-10.53%,-9.42%
ALSN,Allison Transmission Holdings Inc,8.35x,1.68554,1.45x,4.95x,6.03x,77.00x,62.53%,10.23%
ALLO,Allogene Therapeutics Inc,--,,9418.32x,2.90x,0.00x,0.00x,-33.71%,-29.67%
ALLT,Allot Ltd,--,,1.38x,1.66x,0.00x,24.51x,-13.80%,-7.70%
ALVR,Allovir Inc,--,,0.00x,3.53x,0.00x,0.00x,-83.35%,-72.78%
MDRX,Allscripts Healthcare Solutions Inc,18.24x,2.28012,1.85x,1.63x,8.09x,14.32x,9.67%,5.89%
EOD,Allspring Global Dividend Opportunty Fnd,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
EAD,Allspring Income Opportunities Fund,--,,11.05x,0.92x,0.00x,28.81x,-5.71%,-4.03%
ERC,Allspring Multi-Sector Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ERH,Allspring Utilities and High Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ALL,Allstate Corp,44.45x,4.04272,0.67x,1.85x,18.62x,28.47x,3.99%,0.82%
ALLY,Ally Financial Inc,4.90x,,1.17x,0.94x,2.88x,0.00x,18.25%,1.37%
AAU,ALMADEN MINERALS LTD,--,,0.00x,0.52x,0.00x,4.81x,-3.49%,-3.24%
ALNY,"Alnylam Pharmaceuticals, Inc.",--,,31.49x,159.45x,0.00x,79.38x,-190.54%,-28.68%
AOSL,Alpha and Omega Semiconductor Ltd,2.33x,,1.35x,1.24x,2.02x,7.80x,78.08%,44.08%
APHE,Alpha Energy Inc,--,,24510.55x,0.00x,0.00x,0.00x,0.00%,-793.85%
ALPA,Alpha Healthcare Acquisition Corp III,--,,0.00x,1.29x,0.00x,0.00x,-1.15%,-1.10%
AMR,Alpha Metallurgical Resources Inc,2.00x,,0.61x,1.83x,1.64x,0.35x,177.43%,67.78%
ANAV,Alpha Network Alliance Ventures Inc,--,,1664.34x,0.00x,0.00x,0.00x,0.00%,-855.54%
APTM,Alpha Partners Technology Merger Corp,59.17x,,0.00x,1.30x,0.00x,0.00x,4.45%,4.17%
APT,"Alpha Pro Tech, Ltd.",16.58x,,0.92x,0.91x,12.94x,0.00x,5.71%,5.28%
ALBKY,Alpha Services and Holdings SA (ADR),--,,1.03x,0.37x,0.00x,0.00x,-35.15%,-3.42%
ALSA,Alpha Star Acquisition Corp,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
TKNO,Alpha Teknova Inc,--,,4.17x,1.17x,0.00x,7.92x,-18.92%,-11.26%
GOOGL,Alphabet Inc,23.01x,1.78231,5.63x,6.13x,18.13x,5.48x,29.22%,20.86%
ATEC,Alphatec Holdings Inc,--,,2.84x,78.45x,0.00x,90.56x,-145.84%,-34.29%
ALPP,Alpine 4 Holdings Inc,--,,2.10x,2.39x,0.00x,39.18x,-30.59%,-16.23%
REVE,Alpine Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ALPIB,Alpine Banks of Colorado,--,,0.00x,0.57x,0.00x,0.00x,0.00%,0.00%
ALPN,Alpine Immune Sciences Inc,--,,7.88x,2.31x,0.00x,5.61x,-55.97%,-25.95%
PINE,Alpine Income Property Trust Inc,10.04x,,5.46x,0.98x,4.46x,54.16x,11.84%,5.96%
ALRT,ALR Technologies Inc,--,,3507.57x,0.00x,0.00x,0.00x,0.00%,0.00%
ACAX,Alset Capital Acquisition Corp,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
AEI,Alset Ehome International Inc,--,,2.41x,0.23x,0.00x,0.08x,-95.01%,-77.67%
ALOR,ALSP Orchid Acquisition I Corp,--,,0.00x,1.32x,0.00x,0.00x,0.00%,0.00%
ALTG,Alta Equipment Group Inc,--,,0.34x,3.21x,5.82x,82.42x,-13.85%,-1.84%
ALTR,Altair Engineering Inc,--,,8.14x,8.09x,0.00x,35.31x,-6.63%,-3.26%
ATAO,Altair International Corp,--,,0.00x,1500.03x,0.00x,87.20x,0.00%,-944.61%
CYTO,Altamira Therapeutics Ltd,--,,103.58x,0.51x,0.00x,0.00x,-118.00%,-87.75%
ALCC,ALTC Acquisition Corp,--,,0.00x,1.28x,0.00x,0.00x,0.00%,0.00%
AEAE,Altenergy Acquisition Corp,6.85x,,0.00x,1.29x,14.39x,0.00x,17.94%,16.89%
ABTI,Alterola Biotech Inc,--,,0.00x,4.85x,0.00x,1.48x,-122.83%,-106.60%
AYX,Alteryx Inc,--,,7.31x,27.07x,0.00x,83.62x,-102.09%,-21.03%
ALTX,"Altex Industries, Inc.",2.87x,,18.81x,0.80x,2.82x,0.00x,32.38%,16.35%
ATUS,Altice USA Inc,6.12x,0.03131,0.50x,0.00x,1.89x,101.83x,0.00%,2.54%
ATGN,"AltiGen Communications, Inc.",--,,2.41x,1.82x,63.05x,0.00x,-3.65%,-3.03%
ATAQ,Altimar Acquisition Corp III,28.27x,,0.00x,0.00x,0.00x,0.00x,4.76%,4.34%
AGCB,Altimeter Growth 2 Corp,7484.85x,,0.00x,1.31x,695.21x,0.00x,0.02%,0.02%
ALT,Altimmune Inc,--,,154.18x,3.01x,0.00x,0.00x,-47.14%,-43.27%
AAMC,Altisource Asset Management Corp,10.12x,,0.00x,0.00x,0.00x,0.00x,0.00%,-15.64%
ASPS,Altisource Portfolio Solutions S.A.,8.49x,,1.11x,0.00x,5.02x,164.02x,0.00%,11.31%
ALTU,Altitude Acquisition Corp,12.31x,,0.00x,1.33x,142.78x,0.05x,11.41%,10.08%
ALTD,Altitude International Holdings Inc,12.07x,,1.75x,0.47x,10.24x,12.71x,7.42%,5.82%
ALTO,Alto Ingredients Inc,9.65x,,0.28x,1.07x,6.00x,13.53x,11.46%,7.77%
AIMC,Altra Industrial Motion Corp,155.54x,,1.43x,1.44x,21.93x,35.83x,0.94%,0.48%
MO,Altria Group Inc,46.01x,7.45381,3.16x,0.00x,40.71x,109.51x,407.73%,4.32%
,Altus Power Inc,--,,0.00x,3.91x,0.00x,57.48x,0.00%,0.00%
AWCMY,Alumina Limited (ADR),16.97x,,0.00x,1.89x,0.00x,3.81x,10.97%,10.56%
ACH,Aluminum Corporation of China Ltd (ADR),8.62x,,0.26x,0.56x,4.29x,54.90x,8.72%,4.02%
ALVO,Alvotech SA,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ALXO,ALX Oncology Holdings Inc,--,,0.00x,1.65x,0.00x,0.16x,-30.63%,-28.79%
ALZN,Alzamend Neuro Inc,--,,0.00x,7.29x,0.00x,0.00x,-160.92%,-141.86%
AMAL,Amalgamated Bank,11.57x,,3.17x,1.46x,15.11x,0.00x,12.26%,0.88%
AMSU,Amanasu Environment Corporation,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-436.58%
AMRN,Amarin Corporation plc (ADR),--,,1.30x,1.05x,0.00x,0.00x,-16.32%,-9.91%
AMZN,"Amazon.com, Inc.",128.31x,4.58268,2.99x,11.06x,29.70x,38.63x,9.43%,2.98%
AMFC,AMB Financial Corp.,6.45x,,1.65x,0.84x,5.56x,0.00x,13.89%,1.17%
AMBC,"Ambac Financial Group, Inc.",136.12x,,2.66x,0.82x,11.75x,86.49x,0.54%,0.03%
AMBA,Ambarella Inc,--,,9.65x,5.91x,0.00x,0.00x,-4.96%,-4.22%
ABCP,AmBase Corporation,--,,0.00x,4.55x,0.00x,0.00x,-126.61%,-105.94%
ABEV,Ambev SA (ADR),17.87x,,3.10x,2.78x,12.01x,3.52x,16.40%,10.77%
AMBO,Ambow Education Holding Ltd (ADR),21.08x,,0.13x,0.43x,0.00x,6.44x,2.08%,0.20%
AMAM,Ambrx Biopharma Inc - ADR,--,,11.65x,0.46x,0.00x,0.00x,0.00%,0.00%
AMC,AMC Entertainment Holdings Inc,--,,3.15x,0.00x,0.00x,174.74x,0.00%,-7.73%
AMCX,AMC Networks Inc,4.14x,0.75343,0.42x,1.33x,2.93x,68.94x,37.13%,6.18%
AMCI,AMCI Acquisition Corp II,--,,0.00x,1.36x,0.00x,0.00x,-5.15%,-4.64%
DIT,AMCON Distributing Co,7.04x,,0.07x,1.47x,6.96x,53.63x,23.00%,6.28%
AMCR,Amcor PLC,20.45x,3.04583,1.36x,4.22x,12.04x,61.30x,20.69%,5.56%
DOX,Amdocs Limited,--,,0.00x,3.07x,0.00x,15.29x,0.00%,0.00%
AMED,Amedisys Inc,28.60x,1.7233,1.79x,4.03x,23.23x,30.45x,15.09%,7.78%
AMEN,"AMEN Properties, Inc",4.34x,,10.15x,2.19x,3.35x,0.00x,57.39%,59.95%
AMMX,AmeraMex International Inc,4.89x,,0.29x,2.11x,3.15x,62.56x,55.46%,11.68%
,Amerant Bancorp Inc,9.79x,,2.82x,1.34x,8.78x,0.00x,14.03%,1.32%
UHAL,AMERCO,9.94x,,1.88x,1.78x,6.77x,50.65x,19.36%,6.75%
AEE,Ameren Corp,24.11x,5.60596,3.49x,2.46x,10.54x,59.35x,10.49%,2.86%
AMRC,Ameresco Inc,39.48x,,2.10x,4.78x,23.92x,48.50x,13.47%,4.23%
AMHG,Amergent Hospitality Group Inc,--,,0.14x,0.00x,46.15x,215.19x,0.00%,-3.08%
ATAX,America First Multifamily Investors LP,8.49x,,5.94x,1.29x,8.34x,68.38x,14.51%,4.43%
AAGH,America Great Health,--,,1557.54x,0.00x,0.00x,0.00x,0.00%,-909.48%
AMX,America Movil SAB de CV (ADR),15.60x,0.78584,1.39x,3.18x,4.87x,59.97x,24.55%,4.98%
CRMT,"America's Car-Mart, Inc.",8.37x,1.11565,0.62x,1.55x,7.69x,48.40x,21.30%,9.48%
AMAO,American Acquisition Opportunity Inc,28.14x,,0.00x,11.47x,0.00x,0.00x,8.65%,7.55%
AAL,American Airlines Group Inc,--,,0.24x,0.00x,17.77x,129.40x,0.00%,-2.74%
AAT,"American Assets Trust, Inc",45.82x,,4.47x,1.47x,10.48x,57.89x,3.16%,1.67%
AXL,"American Axle & Manufact. Holdings, Inc.",--,,0.22x,2.53x,2.49x,86.66x,-5.27%,-0.43%
AMBK,American Bank Inc. (PA),--,,8.59x,0.00x,0.00x,0.00x,0.00%,0.00%
ABML,American Battery Technology Co,--,,0.00x,10.38x,0.00x,0.00x,-110.44%,-97.69%
ABLT,American Biltrite Inc.,--,,0.02x,0.13x,0.00x,29.21x,-22.18%,-7.17%
AMBZ,American Business Bank,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AMMJ,American Cannabis Company Inc,--,,1.44x,2.26x,0.00x,38.79x,-86.79%,-30.26%
ACMC,American Church Mortgage Company,--,,2.38x,0.52x,0.00x,71.82x,-14.44%,-4.17%
ACRG,American Clean Resources Group Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-24.43%
CRYO,American Cryostem Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-264.24%
AEO,American Eagle Outfitters Inc,6.98x,2.89452,0.40x,1.47x,3.78x,22.69x,27.82%,10.02%
AEP,American Electric Power Company Inc,19.96x,3.29989,2.91x,2.16x,9.09x,60.68x,11.30%,3.07%
AEL,American Equity Investment Life Holding,3.56x,,1.98x,0.98x,3.32x,12.90x,22.19%,1.61%
AXP,American Express Company,16.67x,1.7006,2.50x,5.25x,13.27x,85.67x,30.61%,3.88%
AMFL,American Films Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AFG,American Financial Group Inc,10.70x,1.9456,1.66x,2.71x,9.70x,27.49x,21.33%,3.63%
AGIN,American Graphite Technologies Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-176.86%
AMH,American Homes 4 Rent,65.53x,1.06958,9.45x,2.10x,21.26x,38.68x,3.34%,2.33%
AIG,American International Group Inc,3.60x,0.05396,0.74x,0.94x,2.25x,37.79x,22.96%,2.44%
AIVN,"American International Ventures, Inc.",--,,0.00x,3.14x,0.00x,0.00x,-65.69%,-70.15%
AMLM,American Lithium Minerals Inc,--,,0.00x,86.55x,0.00x,89.14x,-428.19%,-200.06%
AMRR,American Metals Recovery and Recyclg Inc,--,,0.00x,0.00x,0.00x,102.02x,0.00%,0.00%
AMNB,American National BankShares Inc,9.64x,,3.40x,1.13x,8.73x,0.00x,11.44%,1.20%
IFNY,American Noble Gas Inc,--,,49.73x,0.00x,0.00x,0.00x,0.00%,-163.88%
AOUT,American Outdoor Brands Inc,--,,0.46x,0.56x,0.00x,10.85x,-26.87%,-20.96%
AOREF,American Overseas Group Ltd,--,,15.88x,0.27x,0.00x,29.25x,-14.91%,-0.89%
APGI,American Power Group Corp,--,,9.35x,0.00x,0.00x,314.59x,0.00%,-119.97%
APEI,"American Public Education, Inc.",15.72x,,0.48x,0.56x,6.01x,27.34x,3.64%,2.56%
ARL,"American Realty Investors, Inc.",--,,6.55x,1.00x,28.65x,48.64x,-1.36%,-0.28%
AREB,American Rebel Holdings Inc,--,,4.39x,0.73x,0.00x,11.41x,0.00%,-233.62%
AREC,American Resources Corp,--,,10.23x,0.00x,0.00x,138.31x,0.00%,-75.70%
AMS,American Shared Hospital Services,36.95x,,0.81x,0.73x,2.48x,38.33x,2.19%,2.23%
AMNP,American Sierra Gold Corp.,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AMSWA,"American Software, Inc.",50.18x,,5.60x,4.72x,42.19x,0.00x,10.01%,6.91%
AWR,American States Water Co,39.78x,,6.75x,4.71x,26.50x,49.14x,12.13%,4.36%
AMSC,American Superconductor Corporation,--,,1.45x,1.51x,0.00x,0.14x,-20.41%,-12.21%
AMT,American Tower Corp,45.66x,2.00267,12.64x,18.59x,15.57x,79.20x,43.83%,4.34%
AVD,American Vanguard Corp.,22.09x,,1.01x,1.58x,12.22x,20.75x,7.20%,3.71%
AVCT,American Virtual Cloud Technologies Inc,--,,0.96x,0.00x,0.00x,0.00x,0.00%,-122.12%
AWK,American Water Works Company Inc,21.96x,2.67862,7.46x,3.76x,14.68x,60.56x,18.22%,5.04%
AMWL,American Well Corp,--,,5.30x,1.23x,0.00x,0.00x,-20.63%,-18.25%
AMWD,American Woodmark Corporation,--,,0.44x,1.05x,12.21x,39.71x,-3.89%,-1.81%
ACAN,Americann Inc,--,,3.14x,1.52x,0.00x,47.84x,-10.73%,-3.78%
ATA,Americas Technology Acquisition Corp,142.00x,,0.00x,1.30x,104.52x,1.95x,0.92%,0.89%
COLD,Americold Realty Trust Inc,--,,3.03x,2.23x,28.22x,45.17x,-0.42%,-0.20%
ACRU,AmeriCrew Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AGSS,AmeriGuard Security Services Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AMP,"Ameriprise Financial, Inc.",10.11x,0.9107,2.20x,7.08x,12.28x,87.25x,65.05%,1.97%
ABCB,Ameris Bancorp,9.97x,,3.26x,1.08x,8.99x,0.00x,11.35%,1.47%
AMSF,"Amerisafe, Inc.",20.27x,2.02683,3.15x,2.41x,19.66x,0.00x,10.81%,3.20%
ASRV,"AmeriServ Financial, Inc.",8.90x,,1.21x,0.00x,9.47x,0.00x,0.00%,0.00%
ABC,AmerisourceBergen Corp.,16.71x,2.29769,0.13x,134.91x,11.97x,92.13x,"1,404.54%",3.19%
ATCC,Ameritrust Corp,0.03x,,0.01x,0.00x,0.00x,110.77x,0.00%,1.57%
AMTY,Amerityre Corp,10.87x,,0.57x,1.64x,6.27x,2.98x,16.89%,10.50%
ATLO,Ames National Corporation,9.42x,,3.05x,1.26x,8.52x,0.00x,11.62%,1.01%
AMST,Amesite Inc,--,,19.09x,1.53x,0.00x,0.00x,-76.19%,-70.48%
AME,"AMETEK, Inc.",27.01x,3.29447,4.93x,4.20x,20.81x,26.47x,16.46%,9.22%
FUNN,Amfil Technologies Inc,0.86x,,12.83x,0.00x,15.11x,0.00x,0.00%,213.10%
AMGN,"Amgen, Inc.",21.36x,2.71088,5.11x,55.74x,13.56x,93.79x,123.31%,11.05%
FOLD,"Amicus Therapeutics, Inc.",--,,11.12x,20.59x,0.00x,69.26x,-145.09%,-35.40%
AMKR,"Amkor Technology, Inc.",7.72x,0.5018,0.82x,1.66x,4.15x,26.31x,24.10%,11.64%
POWW,Ammo Inc,22.65x,,2.85x,1.83x,14.57x,0.46x,11.44%,11.20%
AMN,"AMN Healthcare Services, Inc.",11.87x,1.67088,0.97x,4.85x,8.70x,44.78x,45.87%,16.31%
AMRX,Amneal Pharmaceuticals Inc,--,,0.45x,3.40x,0.00x,93.70x,-42.65%,-6.77%
AP,Ampco-Pittsburgh Corp,--,,0.24x,1.03x,12.59x,45.88x,-13.80%,-2.23%
AMPH,Amphastar Pharmaceuticals Inc,17.99x,,3.89x,0.00x,15.85x,13.20x,19.73%,13.46%
APH,Amphenol Corporation,27.63x,5.75678,3.90x,7.23x,21.34x,42.64x,29.08%,12.08%
AMPE,Ampio Pharmaceuticals Inc,--,,0.00x,1.02x,0.00x,0.00x,-97.59%,-69.87%
AMPY,Amplify Energy Corp,83.86x,,0.57x,0.00x,8.70x,163.36x,0.00%,0.68%
AMPG,Amplitech Group Inc,--,,2.38x,0.81x,0.00x,1.42x,-19.73%,-16.52%
AMPL,Amplitude Inc,--,,10.18x,7.04x,0.00x,0.00x,-90.59%,-26.21%
AXR,AMREP Corporation,7.02x,,1.36x,1.02x,5.28x,2.38x,18.44%,16.50%
AMYT,Amryt Pharma PLC - ADR,--,,2.60x,1.47x,10.15x,38.21x,1.43%,0.43%
HKD,AMTD Digital Inc - ADR,1774.15x,,1758.22x,213.34x,1758.61x,0.00x,0.00%,0.00%
AMTD,AMTD IDEA Group - ADR,3.90x,,8.33x,0.80x,0.00x,7.96x,14.15%,14.20%
ASYS,"Amtech Systems, Inc.",31.14x,,1.17x,1.42x,21.51x,5.75x,4.74%,3.47%
AMLX,Amylyx Pharmaceuticals Inc,--,,5444.62x,6.37x,0.00x,0.00x,0.00%,0.00%
AMRS,Amyris Inc,--,,4.67x,0.00x,0.00x,120.81x,0.00%,-13.58%
ANTX,AN2 Therapeutics Inc,--,,0.00x,1.79x,0.00x,0.00x,0.00%,0.00%
ALNPY,ANA Holdings Inc - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ANMP,Anacomp Inc,--,,0.00x,0.00x,0.00x,101.28x,0.00%,0.00%
ADI,"Analog Devices, Inc.",49.66x,7.6053,9.33x,2.45x,26.28x,14.42x,6.67%,4.54%
ANAB,AnaptysBio Inc,--,,27.98x,2.21x,0.00x,0.00x,-31.31%,-20.96%
AVXL,Anavex Life Sciences Corp,--,,0.00x,5.92x,0.00x,0.00x,-37.91%,-35.45%
ANDE,Andersons Inc,9.75x,,0.08x,1.10x,3.79x,55.66x,12.17%,4.25%
ANDR,Andrea Electronics Corporation,--,,1.29x,0.00x,0.00x,832.34x,0.00%,-31.83%
WNNR,Andretti Acquisition Corp,--,,0.00x,1.26x,0.00x,0.00x,0.00%,0.00%
ANEB,Anebulo Pharmaceuticals Inc,--,,0.00x,5.70x,0.00x,0.00x,-870.07%,-312.11%
FINS,Angel Oak Final Strategies Incm Trm Trst,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AOMR,Angel Oak Mortgage Inc,--,,6.79x,0.92x,0.00x,85.40x,-8.68%,-1.71%
POND,Angel Pond Holdings Corp,106.89x,,0.00x,1.34x,0.00x,0.00x,0.00%,0.00%
ANGH,Anghami Inc,--,,2.34x,0.00x,0.00x,0.00x,0.00%,0.00%
ANGI,Angi Inc,--,,1.43x,2.40x,0.00x,31.03x,-8.80%,-4.84%
ANGO,"AngioDynamics, Inc.",--,,2.97x,2.23x,335.74x,5.56x,-6.15%,-4.77%
ANGN,Angion Biomedica Corp,--,,1.04x,0.46x,0.00x,0.41x,-40.25%,-29.14%
ANPCY,Angle PLC (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
NGLOY,Anglo American plc (ADR),6.34x,,1.26x,1.69x,3.99x,27.23x,24.20%,13.64%
AU,AngloGold Ashanti Limited (ADR),12.05x,0.35238,1.55x,1.58x,5.78x,34.18x,13.85%,7.38%
AGTT,Angstrom Technologies Inc,--,,2.78x,0.00x,0.00x,0.00x,0.00%,-24.03%
BUD,Anheuser-Busch Inbev SA  (ADR),29.46x,2.72736,1.66x,1.52x,8.94x,50.21x,5.57%,2.56%
ANIP,ANI Pharmaceuticals Inc,--,,2.43x,1.95x,0.00x,45.99x,-25.65%,-10.33%
ANIK,Anika Therapeutics Inc,--,,2.21x,1.17x,92.23x,0.05x,-3.84%,-3.07%
