Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
THRX,Theseus Pharmaceuticals Inc,0.00%,2.63%,8.67%,65.85%,72.53%,2.92%
FLL,"Full House Resorts, Inc.",-16.00%,8.79%,12.02%,38.66%,59.96%,2.91%
SASI,Sigma Labs Inc,-64.00%,-3.59%,-12.25%,73.17%,10.41%,2.91%
SOI,Solaris Oilfield Infrastructure Inc,35.00%,3.04%,1.46%,28.41%,71.19%,2.91%
TER,"Teradyne, Inc.",-16.00%,4.58%,5.21%,41.32%,19.46%,2.91%
ALE,ALLETE Inc,-12.00%,2.50%,4.39%,13.79%,10.61%,2.90%
AVA,Avista Corp,3.00%,2.52%,3.16%,7.87%,14.52%,2.90%
TBBK,Bancorp Inc,-7.00%,4.34%,11.02%,27.82%,45.15%,2.90%
HSIC,"Henry Schein, Inc.",1.00%,1.34%,-0.66%,17.97%,8.23%,2.90%
NLTX,Neoleukin Therapeutics Inc,-86.00%,10.45%,5.35%,88.40%,23.69%,2.90%
PANA,Panacea Acquisition II Corp,-2.00%,0.16%,0.44%,1.90%,2.08%,2.90%
VIRT,Virtu Financial Inc,-8.00%,5.62%,4.87%,37.56%,15.41%,2.90%
WIMI,WiMi Hologram Cloud Inc - ADR,-53.00%,1.79%,-2.33%,67.47%,19.37%,2.90%
ACEV,ACE Convergence Acquisition Corp,4.00%,0.17%,0.72%,0.20%,6.23%,2.89%
CNS,"Cohen & Steers, Inc.",-12.00%,3.68%,7.11%,22.26%,25.71%,2.89%
CFRX,ContraFect Corp,-93.00%,-31.25%,-410.84%,93.81%,1.41%,2.89%
NYMT,New York Mortgage Trust Inc,-30.00%,1.44%,3.19%,32.67%,35.27%,2.89%
CPWR,Ocean Thermal Energy Corp,-40.00%,9.29%,3.84%,71.69%,98.39%,2.89%
RLI,RLI Corp,4.00%,3.69%,3.14%,7.26%,17.52%,2.89%
STEP,Stepstone Group Inc,-35.00%,6.73%,9.61%,47.76%,28.76%,2.89%
TSLA,Tesla Inc,22.00%,4.03%,10.68%,28.98%,42.30%,2.89%
AMRX,Amneal Pharmaceuticals Inc,-39.00%,-2.53%,-6.08%,47.58%,8.28%,2.88%
APLE,Apple Hospitality REIT Inc,12.00%,4.27%,6.65%,11.24%,17.58%,2.88%
LPLA,LPL Financial Holdings Inc,51.00%,4.81%,12.54%,3.63%,62.82%,2.88%
NPK,National Presto Industries Inc.,-18.00%,4.79%,8.47%,19.78%,23.57%,2.88%
OLN,Olin Corporation,12.00%,8.18%,10.02%,18.28%,27.75%,2.88%
SIGI,Selective Insurance Group Inc,-6.00%,2.88%,1.25%,16.16%,18.40%,2.88%
AXTA,Axalta Coating Systems Ltd,-18.00%,4.20%,6.55%,23.48%,21.78%,2.87%
BGNE,Beigene Ltd (ADR),-34.00%,3.25%,9.90%,55.13%,61.94%,2.87%
CBT,Cabot Corp,31.00%,4.77%,8.56%,7.78%,52.34%,2.87%
COKE,Coca-Cola Consolidated Inc,21.00%,-0.29%,-3.79%,23.91%,32.02%,2.87%
CVRX,CVRx Inc,-56.00%,5.61%,19.06%,57.87%,91.52%,2.87%
DAL,"Delta Air Lines, Inc.",-15.00%,4.07%,3.78%,26.67%,20.77%,2.87%
EDBL,Edible Garden AG Inc,0.00%,-2.52%,-21.36%,60.00%,16.50%,2.87%
NXTC,NextCure Inc,-31.00%,6.86%,10.37%,45.10%,55.08%,2.87%
VIV^F11,Telefonica Brasil SA (ADR),14.00%,2.28%,-0.15%,22.16%,20.42%,2.87%
BHF,Brighthouse Financial Inc,0.00%,8.96%,11.91%,22.75%,25.46%,2.86%
CINC,CinCor Pharma Inc,0.00%,17.89%,33.37%,25.84%,146.15%,2.86%
CMC,Commercial Metals Company,19.00%,7.09%,12.78%,7.86%,49.52%,2.86%
EGIO,Edgio Inc,30.00%,17.14%,23.26%,36.94%,79.49%,2.86%
ANY,Sphere 3D Corp,-81.00%,8.14%,-3.03%,93.69%,45.70%,2.86%
UP,Wheels Up Experience Inc,-70.00%,11.96%,15.31%,71.82%,40.88%,2.86%
WHD,Cactus Inc,15.00%,7.22%,4.28%,37.19%,27.36%,2.85%
DAN,Dana Inc,-32.00%,6.87%,10.30%,36.11%,25.14%,2.85%
FBK,FB Financial Corp,6.00%,3.27%,6.62%,9.09%,18.03%,2.85%
HIPO,Hippo Holdings Inc,-83.00%,11.51%,0.77%,87.08%,23.72%,2.85%
LBRDA,Liberty Broadband Corp,-35.00%,2.99%,2.66%,38.75%,16.17%,2.85%
MOS,Mosaic Co,61.00%,4.13%,5.14%,31.90%,85.28%,2.85%
RNST,Renasant Corp.,-8.00%,4.46%,9.60%,16.70%,23.07%,2.85%
AXR,AMREP Corporation,25.00%,4.75%,16.47%,14.10%,63.46%,2.84%
CFFN,"Capitol Federal Financial, Inc.",-13.00%,2.38%,3.56%,19.46%,13.00%,2.84%
CND,Concord Acquisition Corp,-4.00%,0.19%,0.44%,25.74%,1.83%,2.84%
KNSA,Kiniksa Pharmaceuticals Ltd,4.00%,4.13%,13.34%,15.25%,75.54%,2.84%
MOXC,Moxian (BVI) Inc,0.00%,9.50%,13.88%,86.56%,67.95%,2.84%
TOI,Oncology Institute Inc,-27.00%,-2.24%,0.07%,42.42%,94.40%,2.84%
AGS,Playags Inc,-21.00%,25.41%,28.49%,44.02%,38.95%,2.84%
AKR,Acadia Realty Trust,-20.00%,5.27%,3.84%,26.83%,14.56%,2.83%
ENTG,Entegris Inc,-9.00%,1.30%,1.55%,34.62%,20.23%,2.83%
HTLD,"Heartland Express, Inc.",-3.00%,4.08%,9.60%,9.84%,26.13%,2.83%
HEP,"Holly Energy Partners, L.P.",-8.00%,-0.70%,-0.46%,16.40%,13.29%,2.83%
OTTR,Otter Tail Corporation,49.00%,6.61%,14.36%,0.39%,52.41%,2.83%
SMTI,Sanara Medtech Inc,-27.00%,5.49%,12.09%,29.46%,61.06%,2.83%
GLD,SPDR Gold Trust (ETF),0.00%,1.42%,0.88%,13.72%,5.54%,2.83%
EVOP,EVO Payments Inc,30.00%,5.16%,18.63%,1.00%,67.02%,2.82%
EVLV,Evolv Technologies Holdings Inc,-70.00%,12.08%,16.87%,70.90%,91.08%,2.82%
HGV,Hilton Grand Vacations Inc,9.00%,5.88%,8.20%,22.53%,27.19%,2.82%
KTOS,"Kratos Defense & Security Solutions, Inc",-39.00%,4.58%,6.56%,40.71%,22.56%,2.82%
POR,Portland General Electric Company,7.00%,3.54%,7.41%,5.07%,20.26%,2.82%
O,Realty Income Corp,6.00%,2.08%,5.36%,1.68%,19.02%,2.82%
RELI,Reliance Global Group Inc,-72.00%,8.06%,-49.73%,91.43%,12.13%,2.82%
R,"Ryder System, Inc.",3.00%,4.60%,8.28%,12.10%,32.54%,2.82%
TPR,Tapestry Inc,-22.00%,4.20%,6.87%,26.80%,30.50%,2.82%
TWI,Titan International Inc,68.00%,2.67%,1.15%,22.46%,129.60%,2.82%
VRT,Vertiv Holdings Co,-52.00%,9.66%,18.46%,55.00%,67.01%,2.82%
APYX,Apyx Medical Corp,-3.00%,-16.99%,2.50%,38.11%,259.80%,2.81%
ACRE,Ares Commercial Real Estate Corp,-7.00%,2.24%,3.11%,16.56%,23.00%,2.81%
BOC,BOSTON OMAHA Corp,0.00%,8.58%,16.52%,40.13%,42.61%,2.81%
,Constellium SE,-28.00%,2.52%,1.48%,32.95%,22.82%,2.81%
ERIE,Erie Indemnity Company,26.00%,3.37%,10.48%,7.25%,37.53%,2.81%
SPPI,"Spectrum Pharmaceuticals, Inc.",-52.00%,23.04%,33.16%,55.73%,86.67%,2.81%
TTWO,Take-Two Interactive Software Inc,-23.00%,-1.76%,-3.15%,36.79%,21.54%,2.81%
VEDU,Visionary Education Tchngy Hldng Grp Inc,0.00%,-3.60%,-157.45%,95.07%,31.43%,2.81%
LOPE,Grand Canyon Education Inc,-5.00%,-4.46%,-7.57%,18.63%,18.61%,2.80%
HNI,HNI Corp,-12.00%,2.81%,1.46%,22.13%,5.29%,2.80%
SPRC,Scisparc Ltd,0.00%,-21.11%,-71.43%,85.41%,"1,239,900.00%",2.80%
VBTX,Veritex Holdings Inc,-8.00%,4.15%,5.10%,28.59%,20.01%,2.80%
ASMB,Assembly Biosciences Inc,-39.00%,-0.01%,2.52%,44.92%,64.41%,2.79%
EXP,"Eagle Materials, Inc.",-15.00%,5.59%,9.39%,22.67%,24.18%,2.79%
EVEX,Eve Holding Inc,0.00%,2.93%,1.77%,38.94%,36.42%,2.79%
IS,Ironsource Ltd,-52.00%,-4.64%,9.58%,64.84%,110.00%,2.79%
MTC^K10,MMTec Inc,-83.00%,-15.86%,-23.32%,84.34%,94.33%,2.79%
PB,"Prosperity Bancshares, Inc.",6.00%,3.23%,6.42%,7.66%,15.37%,2.79%
SPOT,Spotify Technology SA,-43.00%,4.60%,9.01%,60.70%,34.89%,2.79%
ALF^J10,Alfi Inc,-81.00%,7.22%,11.46%,87.05%,37.14%,2.78%
INSE,Inspired Entertainment Inc,11.00%,10.12%,19.05%,18.50%,72.10%,2.78%
KFY,Korn Ferry,-5.00%,1.81%,5.37%,23.59%,26.68%,2.78%
RTLR,Rattler Midstream LP,29.00%,6.03%,6.60%,22.34%,39.68%,2.78%
STAG,Stag Industrial Inc,-20.00%,4.87%,5.98%,30.43%,14.10%,2.78%
TRNO,Terreno Realty Corporation,-5.00%,4.60%,7.22%,25.52%,17.50%,2.78%
CDZI,Cadiz Inc,-68.00%,5.23%,25.73%,70.39%,162.05%,2.77%
EXLS,"ExlService Holdings, Inc.",46.00%,3.11%,11.02%,0.96%,56.33%,2.77%
AMX,America Movil SAB de CV (ADR),9.00%,3.30%,0.79%,16.86%,12.96%,2.76%
NAUT,Nautilus Biotechnology Inc,-63.00%,0.99%,-4.28%,67.01%,12.25%,2.76%
PACW,PacWest Bancorp,-32.00%,4.58%,2.84%,43.68%,14.52%,2.76%
VLY,Valley National Bancorp,-9.00%,6.15%,9.34%,19.07%,22.08%,2.76%
AOUT,American Outdoor Brands Inc,-70.00%,9.67%,-1.41%,71.53%,19.86%,2.75%
BBAR,Banco Bbva Argentina SA (ADR),-16.00%,7.77%,9.70%,42.55%,36.89%,2.75%
IRMD,Iradimed Corp,3.00%,3.16%,5.75%,35.55%,24.70%,2.75%
LVOX,LiveVox Holdings Inc,-62.00%,20.60%,26.60%,66.67%,79.29%,2.75%
NBIX,"Neurocrine Biosciences, Inc.",23.00%,4.11%,8.55%,2.26%,48.58%,2.75%
NICE,Nice Ltd (ADR),-14.00%,4.75%,9.30%,28.50%,27.69%,2.75%
OB^I17,Outbrain Inc,-66.00%,-1.37%,-3.36%,66.41%,46.09%,2.75%
TCBX,Third Coast Bancshares Inc,0.00%,-2.06%,-11.62%,38.07%,4.54%,2.75%
WH,Wyndham Hotels & Resorts Inc,-3.00%,2.94%,0.88%,26.60%,9.54%,2.75%
BNFT,Benefitfocus Inc,-34.00%,1.39%,-4.96%,40.64%,9.15%,2.74%
HLI,Houlihan Lokey Inc,-2.00%,2.83%,5.11%,29.27%,16.84%,2.74%
LSCC,Lattice Semiconductor Corp,8.00%,2.59%,11.71%,24.67%,48.28%,2.74%
NUE,Nucor Corporation,12.00%,5.39%,11.54%,24.70%,59.88%,2.74%
GRNA,Greenlight Biosciences Holdings PBC,-60.00%,12.88%,3.87%,75.19%,105.24%,2.73%
NBEV,Newage Inc,-87.00%,-2.33%,-15.53%,88.13%,25.28%,2.73%
PSNL,Personalis Inc,-76.00%,16.37%,18.69%,79.30%,52.40%,2.73%
SAIC,Science Applications International Corp,12.00%,-0.07%,1.75%,3.94%,20.32%,2.73%
LLAP,Terran Orbital Corp,0.00%,-2.21%,-10.93%,65.01%,22.15%,2.73%
TW,Tradeweb Markets Inc,-18.00%,3.30%,3.95%,29.96%,19.81%,2.73%
AMPG,Amplitech Group Inc,-37.00%,6.98%,10.52%,56.15%,51.84%,2.72%
AZRE,Azure Power Global Ltd,-51.00%,5.70%,1.27%,55.24%,16.40%,2.72%
FAZE,FaZe Holdings Inc,88.00%,-7.97%,8.94%,17.19%,127.06%,2.72%
INCY,Incyte Corporation,2.00%,-1.28%,-3.11%,12.64%,19.74%,2.72%
MRNS,Marinus Pharmaceuticals Inc,-53.00%,2.66%,3.32%,54.90%,49.37%,2.72%
ONTF,ON24 Inc,-52.00%,0.88%,-2.78%,57.22%,22.48%,2.72%
SANM,Sanmina Corp,27.00%,3.91%,10.87%,2.24%,40.41%,2.72%
SBNY,Signature Bank,-24.00%,6.97%,5.03%,47.40%,19.22%,2.72%
THCA,Tuscan Holdings Corp II,3.00%,0.05%,-0.09%,24.69%,3.39%,2.72%
KALA,Kala Pharmaceuticals Inc,-89.00%,0.87%,-17.80%,90.36%,23.84%,2.71%
TENB,Tenable Holdings Inc,5.00%,2.60%,-3.61%,30.45%,20.64%,2.71%
ARES,Ares Management Corp,0.00%,4.01%,9.98%,17.14%,40.43%,2.70%
EXEL,"Exelixis, Inc.",9.00%,-5.70%,-6.32%,16.67%,25.81%,2.70%
JOUT,Johnson Outdoors Inc.,-44.00%,2.66%,3.97%,44.89%,23.76%,2.70%
RANI,Rani Therapeutics Holdings Inc,-36.00%,1.25%,-1.15%,69.38%,38.81%,2.70%
SPNS,Sapiens International Corporation N.V.,-22.00%,-1.96%,-6.31%,42.54%,10.10%,2.70%
SSYS,Stratasys Ltd,-19.00%,0.59%,1.06%,54.91%,21.75%,2.70%
TRT,Trio-Tech International,18.00%,3.34%,5.54%,62.49%,33.42%,2.70%
MTN,"Vail Resorts, Inc.",-19.00%,3.04%,4.07%,35.92%,17.02%,2.70%
CINF,Cincinnati Financial Corporation,-18.00%,2.55%,-6.20%,30.15%,7.10%,2.69%
FTEK,Fuel Tech Inc,-27.00%,5.49%,8.37%,44.40%,36.27%,2.69%
IMPL,Impel Pharmaceuticals Inc,-52.00%,3.31%,5.58%,75.94%,46.15%,2.69%
NSA,National Storage Affiliates Trust,2.00%,4.66%,7.93%,19.29%,25.26%,2.69%
PNR,Pentair PLC,-37.00%,3.05%,4.21%,37.97%,14.38%,2.69%
SBFM,"Sunshine Biopharma, Inc.",0.00%,2.95%,-13.99%,95.87%,19.42%,2.69%
TALK,Talkspace Inc,-71.00%,-4.27%,-2.10%,74.46%,48.54%,2.69%
VRA,"Vera Bradley, Inc.",-62.00%,4.90%,-3.52%,62.36%,14.86%,2.69%
CPSI,"Computer Programs & Systems, Inc.",-11.00%,-0.42%,-2.21%,18.16%,17.92%,2.68%
XPON,Expion360 Inc,0.00%,4.76%,11.61%,64.75%,90.43%,2.68%
HCCI,"Heritage-Crystal Clean, Inc.",22.00%,3.63%,14.01%,1.16%,49.46%,2.68%
MX,Magnachip Semiconductor Corp,-34.00%,-4.25%,-14.79%,43.40%,4.65%,2.68%
MXC,Mexco Energy Corporation,106.00%,7.75%,11.84%,56.23%,141.28%,2.68%
UMC,United Microelectronics Corp (ADR),-33.00%,4.75%,0.43%,44.64%,12.50%,2.68%
WBD^E11,Warner Bros Discovery Inc,-55.00%,-5.14%,-12.34%,58.48%,2.62%,2.68%
ASPU,Aspen Group Inc,-85.00%,-0.90%,-4.35%,86.01%,28.75%,2.67%
ERF,Enerplus Corp (USA),138.00%,7.18%,7.63%,25.63%,183.01%,2.67%
FFBC,First Financial Bancorp,-4.00%,4.39%,8.81%,15.77%,20.53%,2.67%
HFFG,Hf Foods Group Inc,-2.00%,1.75%,0.68%,45.56%,12.85%,2.67%
IVT,Inventrust Properties Corp,0.00%,4.26%,5.90%,12.51%,"2,168.50%",2.67%
JLL,Jones Lang LaSalle Inc,-28.00%,2.64%,1.39%,34.65%,16.54%,2.67%
KCLI,Kansas City Life Insurance Co,-27.00%,-2.81%,-8.94%,30.22%,5.66%,2.67%
STOR,Store Capital Corp,-21.00%,2.78%,5.16%,21.35%,17.08%,2.67%
DAO,Youdao Inc - ADR,-46.00%,2.82%,-4.12%,71.75%,23.95%,2.67%
AESE,Allied Esports Entertainment Inc,-27.00%,0.32%,2.05%,37.60%,30.00%,2.66%
BWFG,Bankwell Financial Group Inc,6.00%,2.57%,3.27%,10.33%,17.03%,2.66%
EXPD,Expeditors International of Wshngtn Inc,-12.00%,2.58%,4.70%,22.03%,16.05%,2.66%
IBCP,Independent Bank Corp (Michigan),-4.00%,2.98%,5.65%,20.08%,16.28%,2.66%
PTE,Polarityte Inc,-92.00%,-9.87%,-46.42%,92.89%,22.83%,2.66%
QD,Qudian Inc - ADR,-33.00%,-2.69%,-2.36%,50.92%,69.84%,2.66%
SJ,Scienjoy Holding Corp,-17.00%,-1.86%,6.02%,39.73%,151.43%,2.66%
CNNE,Cannae Holdings Inc,-32.00%,4.65%,9.56%,36.19%,36.08%,2.65%
CCBG,"Capital City Bank Group, Inc.",39.00%,2.20%,9.49%,3.10%,49.22%,2.65%
CNTY,"Century Casinos, Inc.",-41.00%,0.78%,1.94%,49.58%,23.92%,2.65%
CYBE,CyberOptics Corporation,26.00%,12.60%,23.27%,0.21%,71.17%,2.65%
THRM,Gentherm Inc,-26.00%,7.39%,6.66%,37.12%,13.14%,2.65%
GHC,Graham Holdings Co,-5.00%,2.54%,3.55%,12.63%,10.49%,2.65%
GPP,Green Plains Partners LP,-3.00%,2.92%,5.36%,18.91%,17.56%,2.65%
IGC,"India Globalization Capital, Inc.",-65.00%,5.79%,5.01%,68.10%,35.95%,2.65%
JKHY,"Jack Henry & Associates, Inc.",20.00%,1.19%,6.42%,1.63%,41.80%,2.65%
MATV,Mativ Holdings Inc,-40.00%,9.51%,4.86%,41.05%,21.70%,2.65%
TTMI,"TTM Technologies, Inc.",15.00%,8.20%,16.35%,7.07%,66.40%,2.65%
UCTT,Ultra Clean Holdings Inc,-25.00%,2.89%,4.87%,46.75%,24.62%,2.65%
USER,UserTesting Inc,0.00%,-6.99%,-16.52%,69.59%,17.39%,2.65%
XSPA,XpresSpa Group Inc,-41.00%,3.69%,8.97%,55.26%,55.54%,2.65%
EVC,Entravision Communications Corp,-24.00%,7.51%,11.97%,40.79%,31.35%,2.64%
FGI^A12,FGI Industries Ltd,0.00%,3.10%,6.73%,60.80%,22.49%,2.64%
FWRD,Forward Air Corporation,19.00%,3.32%,9.35%,14.47%,33.47%,2.64%
HFWA,Heritage Financial Corp,3.00%,4.19%,5.89%,4.85%,24.68%,2.64%
HES,Hess Corp.,54.00%,5.54%,5.92%,18.14%,73.73%,2.64%
ICVX,Icosavax Inc,-75.00%,9.79%,11.25%,80.32%,106.50%,2.64%
KRC,Kilroy Realty Corp,-21.00%,1.63%,-2.18%,33.46%,7.00%,2.64%
NECB,"Northeast Community Bancorp, Inc.",26.00%,-0.10%,3.65%,2.39%,28.13%,2.64%
ROST,"Ross Stores, Inc.",-31.00%,6.02%,8.69%,32.32%,24.47%,2.64%
SFNC,Simmons First National Corporation,-17.00%,4.91%,7.47%,25.84%,22.24%,2.64%
SKIL,Skillsoft Corp,-54.00%,11.24%,8.41%,66.61%,26.47%,2.64%
WEYS,"Weyco Group, Inc.",12.00%,4.66%,5.89%,15.47%,25.65%,2.64%
SSP,E W Scripps Co,-18.00%,6.90%,8.89%,35.96%,25.58%,2.63%
EEFT,"Euronet Worldwide, Inc.",-25.00%,3.02%,-0.88%,33.01%,8.13%,2.63%
FIBK,First Interstate Bancsystem Inc,-10.00%,2.35%,6.03%,11.78%,25.00%,2.63%
F,Ford Motor Company,14.00%,6.96%,15.27%,40.09%,46.09%,2.63%
NGVC,Natural Grocers by Vitamin Cottage Inc,35.00%,-4.76%,-8.64%,36.29%,56.45%,2.63%
SCHN,"Schnitzer Steel Industries, Inc.",-36.00%,5.07%,3.27%,39.85%,20.54%,2.63%
LITM,Snow Lake Resources Ltd,0.00%,15.86%,7.35%,85.12%,29.25%,2.63%
CMTL,Comtech Telecomm. Corp.,-54.00%,4.27%,7.37%,55.52%,46.32%,2.62%
CRBP,Corbus Pharmaceuticals Holdings Inc,-80.00%,-2.17%,-9.48%,81.58%,22.64%,2.62%
EQOS,Eqonex Ltd,-86.00%,-1.23%,-15.38%,88.00%,23.97%,2.62%
EMWP,Eros Media World PLC,-84.00%,0.06%,-10.34%,90.35%,41.91%,2.62%
GMVD,G Medical Innovations Holdings Ltd,-84.00%,-4.95%,-53.56%,94.39%,18.16%,2.62%
GRFS,Grifols SA - ADR,-37.00%,-2.02%,-15.63%,43.58%,8.27%,2.62%
IDT,IDT Corporation,-52.00%,1.05%,1.16%,60.25%,23.39%,2.62%
IBKR,"Interactive Brokers Group, Inc.",-2.00%,6.73%,10.06%,24.98%,19.09%,2.62%
PBH,Prestige Consumer Healthcare Inc,-4.00%,-2.95%,-2.15%,9.66%,11.53%,2.62%
STLD,"Steel Dynamics, Inc.",14.00%,6.86%,11.75%,17.30%,64.25%,2.62%
NCTY,The9 Limited (ADR),-90.00%,4.27%,-5.34%,91.19%,35.96%,2.62%
ABC,AmerisourceBergen Corp.,22.00%,3.86%,3.73%,12.93%,28.06%,2.61%
APA,APA Corp (US),76.00%,2.43%,-4.29%,36.05%,113.70%,2.61%
DLR,"Digital Realty Trust, Inc.",-17.00%,1.08%,0.72%,25.65%,10.76%,2.61%
EVRI,Everi Holdings Inc,-13.00%,5.09%,11.48%,23.07%,36.01%,2.61%
MAG,MAG Silver Corp (USA),-27.00%,3.99%,6.52%,33.74%,31.25%,2.61%
UDMY,Udemy Inc,0.00%,10.84%,18.91%,53.80%,59.22%,2.61%
AMCR,Amcor PLC,5.00%,1.30%,1.89%,6.58%,19.19%,2.60%
NGVT,Ingevity Corp,-16.00%,7.45%,11.43%,15.80%,26.02%,2.60%
ISO,IsoPlexis Corp,0.00%,-34.47%,-35.56%,87.61%,29.63%,2.60%
MCAC,Monterey Capital Acquisition Corp,0.00%,0.00%,0.00%,2.74%,0.87%,2.60%
NEON,"Neonode, Inc",-11.00%,-15.71%,-28.42%,61.76%,28.38%,2.60%
REZI,Resideo Technologies Inc,-27.00%,4.58%,7.46%,30.75%,24.24%,2.60%
JOE,St Joe Co,-8.00%,3.30%,-0.16%,33.89%,8.81%,2.60%
CMTG,Claros Mortgage Trust Inc,0.00%,0.38%,1.30%,11.52%,24.73%,2.59%
FFWM,First Foundation Inc,-17.00%,3.94%,2.62%,30.50%,11.63%,2.59%
HWC,Hancock Whitney Corp,9.00%,5.23%,8.40%,16.17%,20.49%,2.59%
NHI,National Health Investors Inc,3.00%,2.89%,6.78%,1.92%,28.89%,2.59%
SOHU,Sohu.com Ltd - ADR,-20.00%,4.61%,8.74%,30.08%,33.10%,2.59%
FIX,"Comfort Systems USA, Inc.",35.00%,6.32%,14.17%,3.78%,51.30%,2.58%
ERJ,Embraer SA (ADR),-30.00%,11.29%,15.86%,42.84%,40.20%,2.58%
LBAI,"Lakeland Bancorp, Inc.",-3.00%,4.59%,7.32%,22.43%,15.38%,2.58%
NEX,Nextier Oilfield Solutions Inc,142.00%,4.20%,1.45%,30.16%,185.29%,2.58%
RLYB,Rallybio Corp,-37.00%,11.80%,19.15%,48.90%,81.86%,2.58%
TMC,TMC the metals company Inc,0.00%,8.82%,-4.93%,94.48%,7.58%,2.58%
AVNT,Avient Corp,-8.00%,9.31%,10.51%,25.55%,23.38%,2.57%
ELVT,Elevate Credit Inc,-39.00%,-1.30%,-6.18%,47.01%,9.18%,2.57%
RC,Ready Capital Corp,-7.00%,2.92%,5.25%,15.39%,26.79%,2.57%
XOMA,XOMA Corp,-35.00%,-6.40%,-9.80%,36.60%,21.46%,2.57%
TEAM,Atlassian Corporation PLC,-15.00%,11.06%,22.11%,40.76%,79.38%,2.56%
FDP,Fresh Del Monte Produce Inc,-13.00%,0.49%,2.97%,17.35%,24.17%,2.56%
IBM,International Business Machines Corp.,-4.00%,1.45%,0.04%,9.14%,14.79%,2.56%
LPCN,Lipocine Inc,-52.00%,-6.32%,-14.76%,62.33%,1.48%,2.56%
MEI,Methode Electronics Inc.,-15.00%,4.34%,6.43%,16.62%,22.80%,2.56%
WBX,Wallbox NV,0.00%,7.63%,6.25%,65.85%,28.98%,2.56%
UHAL,AMERCO,-14.00%,4.75%,9.56%,26.72%,25.84%,2.55%
AEL,American Equity Investment Life Holding,27.00%,7.64%,10.93%,5.35%,55.27%,2.55%
BANC,Banc of California Inc,-2.00%,2.83%,1.75%,20.10%,5.55%,2.55%
BRC,Brady Corp,-11.00%,3.82%,5.73%,14.01%,16.30%,2.55%
CBOE,Cboe Global Markets Inc,-7.00%,0.14%,1.61%,14.78%,14.10%,2.55%
CGNT,Cognyte Software Ltd,-82.00%,4.35%,-4.49%,82.31%,29.16%,2.55%
CWBR,CohBar Inc,-88.00%,4.17%,-1.47%,92.29%,2.94%,2.55%
DMS,Digital Media Solutions Inc,-84.00%,13.92%,9.17%,87.58%,12.38%,2.55%
JBSS,"John B. Sanfilippo & Son, Inc.",-16.00%,-2.82%,-3.60%,19.65%,10.41%,2.55%
PSAG,Property Solutions Acquisition Corp II,2.00%,0.00%,0.26%,0.35%,2.55%,2.55%
DRD,DRDGOLD Ltd. (ADR),-32.00%,3.03%,2.56%,40.51%,21.19%,2.54%
EZGO,EZGO Technologies Ltd,-77.00%,-3.43%,-8.18%,78.89%,10.68%,2.54%
FREQ,Frequency Therapeutics Inc,-74.00%,-2.71%,6.96%,74.11%,118.00%,2.54%
KC,Kingsoft Cloud Holdings Ltd,-88.00%,-0.14%,-14.84%,91.10%,29.20%,2.54%
NIC,Nicolet Bankshares Inc,0.00%,3.96%,6.73%,16.19%,18.69%,2.54%
PNW,Pinnacle West Capital Corporation,-4.00%,2.92%,5.10%,5.91%,21.77%,2.54%
WEJO,Wejo Group Ltd,-82.00%,9.09%,6.98%,91.16%,58.56%,2.54%
ZUO,Zuora Inc,-38.00%,8.39%,6.87%,57.63%,19.82%,2.54%
ZWS,Zurn Elkay Water Solutions Corp,-51.00%,5.01%,5.78%,22.12%,15.21%,2.54%
BCC,Boise Cascade Co,25.00%,4.44%,5.96%,17.27%,47.87%,2.53%
NRC^E13,National Research Corporation,-32.00%,-0.94%,-2.21%,36.23%,14.78%,2.53%
PPSI,"Pioneer Power Solutions, Inc.",-13.00%,14.90%,14.18%,75.05%,29.96%,2.53%
MYPS,Playstudios Inc,-22.00%,5.35%,-5.45%,40.00%,13.47%,2.53%
SLGN,Silgan Holdings Inc.,0.00%,5.30%,8.01%,2.64%,23.29%,2.53%
SMMT,Summit Therapeutics Inc,-87.00%,4.02%,-4.33%,87.60%,18.17%,2.53%
TSAT,Telesat Corp,0.00%,4.87%,-0.03%,78.25%,19.07%,2.53%
TMP,Tompkins Financial Corporation,-6.00%,3.05%,4.85%,11.79%,11.28%,2.53%
FAST,Fastenal Company,-2.00%,5.42%,7.69%,15.93%,19.15%,2.52%
NAK,Northern Dynasty Minerals Ltd,-19.00%,5.48%,9.62%,46.79%,29.69%,2.52%
PHX,PHX Minerals Inc,16.00%,4.77%,4.79%,33.94%,58.94%,2.52%
SES,SES AI Corp,0.00%,8.31%,8.69%,51.18%,55.12%,2.52%
AIP,Arteris Inc,0.00%,4.37%,4.21%,68.55%,31.86%,2.51%
AUID,authID Inc,0.00%,-15.73%,-17.39%,84.60%,97.93%,2.51%
BFRI,Biofrontera Inc,0.00%,-4.85%,-35.07%,90.43%,2.94%,2.51%
BIOL,BIOLASE Inc,-67.00%,3.67%,6.80%,77.56%,59.70%,2.51%
BXP,"Boston Properties, Inc.",-26.00%,1.87%,-3.40%,34.07%,3.42%,2.51%
CNCE,Concert Pharmaceuticals Inc,112.00%,9.19%,24.94%,1.91%,180.16%,2.51%
BBCP,Concrete Pumping Holdings Inc,-17.00%,6.49%,14.07%,25.26%,56.25%,2.51%
